"Referentiecode";"Referentienummer";"Omschrijving";"D/C";"Niveau";"ReferentieOmslagcode";"Wijziging"
"BMvaVioVvpAdo";"0204010.05";"Aankopen door overnames vastgoed in ontwikkeling bestemd voor eigen exploitatie";"D";5;;
"BMvaVioVvpDes";"0204010.06";"Desinvesteringen vastgoed in ontwikkeling bestemd voor eigen exploitatie";"C";5;;
"BMvaVioVvpDda";"0204010.07";"Desinvesteringen door afstotingen vastgoed in ontwikkeling bestemd voor eigen exploitatie";"C";5;;
"BMvaVioVvpOmv";"0204010.08";"Omrekeningsverschillen vastgoed in ontwikkeling bestemd voor eigen exploitatie";"D";5;;
"BMvaVioVvpOve";"0204010.09";"Overboekingen vastgoed in ontwikkeling bestemd voor eigen exploitatie";"D";5;;
"BMvaVioVvpOvm";"0204010.10";"Overige mutaties vastgoed in ontwikkeling bestemd voor eigen exploitatie";"D";5;;
"BMvaVioCae";"0204020";"Cumulatieve afschrijvingen en waardeverminderingen vastgoed in ontwikkeling bestemd voor eigen exploitatie";"C";4;;
"BMvaVioCaeBeg";"0204020.01";"Beginbalans vastgoed in ontwikkeling bestemd voor eigen exploitatie";"C";5;;
"BMvaVioCaeAfs";"0204020.02";"Afschrijvingen vastgoed in ontwikkeling bestemd voor eigen exploitatie";"C";5;;
"BMvaVioCaeDca";"0204020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen vastgoed in ontwikkeling bestemd voor eigen exploitatie";"D";5;;
"BMvaVioCaeWvr";"0204020.04";"Waardeverminderingen vastgoed in ontwikkeling bestemd voor eigen exploitatie";"C";5;;
"BMvaVioCaeTvw";"0204020.05";"Terugneming van waardeverminderingen vastgoed in ontwikkeling bestemd voor eigen exploitatie";"D";5;;
"BMvaVioCuh";"0204030";"Cumulatieve herwaarderingen vastgoed in ontwikkeling bestemd voor eigen exploitatie";"D";4;;
"BMvaVioCuhBeg";"0204030.01";"Beginbalans vastgoed in ontwikkeling bestemd voor eigen exploitatie";"D";5;;
"BMvaVioCuhHer";"0204030.02";"Herwaarderingen vastgoed in ontwikkeling bestemd voor eigen exploitatie";"D";5;;
"BMvaVioCuhAfh";"0204030.03";"Afschrijving herwaarderingen vastgoed in ontwikkeling bestemd voor eigen exploitatie";"C";5;;
"BMvaVioCuhDeh";"0204030.04";"Desinvestering herwaarderingen vastgoed in ontwikkeling bestemd voor eigen exploitatie";"C";5;;
"BMvaSvi";"0205000";"Sociaal vastgoed in exploitatie";"D";3;;
"BMvaSviVvp";"0205010";"Verkrijgings- of vervaardigingsprijs sociaal vastgoed in exploitatie";"D";4;;
"BMvaSviVvpBeg";"0205010.01";"Beginbalans sociaal vastgoed in exploitatie";"D";5;;
"BMvaSviVvpIna";"0205010.02";"Investeringen nieuw aangeschaft sociaal vastgoed in exploitatie";"D";5;;
"BMvaSviVvpIta";"0205010.03";"Investeringen tweedehands aangeschaft sociaal vastgoed in exploitatie";"D";5;;
"BMvaSviVvpIie";"0205010.04";"Investeringen in eigen beheer vervaardigd sociaal vastgoed in exploitatie";"D";5;;
"BMvaSviVvpAdo";"0205010.05";"Aankopen door overnames sociaal vastgoed in exploitatie";"D";5;;
"BMvaSviVvpDes";"0205010.06";"Desinvesteringen sociaal vastgoed in exploitatie";"C";5;;
"BMvaSviVvpDda";"0205010.07";"Desinvesteringen door afstotingen sociaal vastgoed in exploitatie";"C";5;;
"BMvaSviVvpOmv";"0205010.08";"Omrekeningsverschillen sociaal vastgoed in exploitatie";"D";5;;
"BMvaSviVvpOve";"0205010.09";"Overboekingen sociaal vastgoed in exploitatie";"D";5;;
"BMvaSviVvpOvm";"0205010.10";"Overige mutaties sociaal vastgoed in exploitatie";"D";5;;
"BMvaSviCae";"0205020";"Cumulatieve afschrijvingen en waardeverminderingen sociaal vastgoed in exploitatie";"C";4;;
"BMvaSviCaeBeg";"0205020.01";"Beginbalans sociaal vastgoed in exploitatie";"C";5;;
"BMvaSviCaeAfs";"0205020.02";"Afschrijvingen sociaal vastgoed in exploitatie";"C";5;;
"BMvaSviCaeDca";"0205020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen sociaal vastgoed in exploitatie";"D";5;;
"BMvaSviCaeWvr";"0205020.04";"Waardeverminderingen sociaal vastgoed in exploitatie";"C";5;;
"BMvaSviCaeTvw";"0205020.05";"Terugneming van waardeverminderingen sociaal vastgoed in exploitatie";"D";5;;
"BMvaSviCuh";"0205030";"Cumulatieve herwaarderingen sociaal vastgoed in exploitatie";"D";4;;
"BMvaSviCuhBeg";"0205030.01";"Beginbalans sociaal vastgoed in exploitatie";"D";5;;
"BMvaSviCuhHer";"0205030.02";"Herwaarderingen sociaal vastgoed in exploitatie";"D";5;;
"BMvaSviCuhAfh";"0205030.03";"Afschrijving herwaarderingen sociaal vastgoed in exploitatie";"C";5;;
"BMvaSviCuhDeh";"0205030.04";"Desinvestering herwaarderingen sociaal vastgoed in exploitatie";"C";5;;
"BMvaCvi";"0206000";"Commercieel vastgoed in exploitatie";"D";3;;
"BMvaCviVvp";"0206010";"Verkrijgings- of vervaardigingsprijs commercieel vastgoed in exploitatie";"D";4;;
"BMvaCviVvpBeg";"0206010.01";"Beginbalans commercieel vastgoed in exploitatie";"D";5;;
"BMvaCviVvpIna";"0206010.02";"Investeringen nieuw aangeschaft commercieel vastgoed in exploitatie";"D";5;;
"BMvaCviVvpIta";"0206010.03";"Investeringen tweedehands aangeschaft commercieel vastgoed in exploitatie";"D";5;;
"BMvaCviVvpIie";"0206010.04";"Investeringen in eigen beheer vervaardigd commercieel vastgoed in exploitatie";"D";5;;
"BMvaCviVvpAdo";"0206010.05";"Aankopen door overnames commercieel vastgoed in exploitatie";"D";5;;
"BMvaCviVvpDes";"0206010.06";"Desinvesteringen commercieel vastgoed in exploitatie";"C";5;;
"BMvaCviVvpDda";"0206010.07";"Desinvesteringen door afstotingen commercieel vastgoed in exploitatie";"C";5;;
"BMvaCviVvpOmv";"0206010.08";"Omrekeningsverschillen commercieel vastgoed in exploitatie";"D";5;;
"BMvaCviVvpOve";"0206010.09";"Overboekingen commercieel vastgoed in exploitatie";"D";5;;
"BMvaCviVvpOvm";"0206010.10";"Overige mutaties commercieel vastgoed in exploitatie";"D";5;;
"BMvaCviCae";"0206020";"Cumulatieve afschrijvingen en waardeverminderingen commercieel vastgoed in exploitatie";"C";4;;
"BMvaCviCaeBeg";"0206020.01";"Beginbalans commercieel vastgoed in exploitatie";"C";5;;
"BMvaCviCaeAfs";"0206020.02";"Afschrijvingen commercieel vastgoed in exploitatie";"C";5;;
"BMvaCviCaeDca";"0206020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen commercieel vastgoed in exploitatie";"D";5;;
"BMvaCviCaeWvr";"0206020.04";"Waardeverminderingen commercieel vastgoed in exploitatie";"C";5;;
"BMvaCviCaeTvw";"0206020.05";"Terugneming van waardeverminderingen commercieel vastgoed in exploitatie";"D";5;;
"BMvaCviCuh";"0206030";"Cumulatieve herwaarderingen commercieel vastgoed in exploitatie";"D";4;;
"BMvaCviCuhBeg";"0206030.01";"Beginbalans commercieel vastgoed in exploitatie";"D";5;;
"BMvaCviCuhHer";"0206030.02";"Herwaarderingen commercieel vastgoed in exploitatie";"D";5;;
"BMvaCviCuhAfh";"0206030.03";"Afschrijving herwaarderingen commercieel vastgoed in exploitatie";"C";5;;
"BMvaCviCuhDeh";"0206030.04";"Desinvestering herwaarderingen commercieel vastgoed in exploitatie";"C";5;;
"BMvaOzv";"0207000";"Onroerende zaken verkocht onder voorwaarden";"D";3;;
"BMvaOzvVvp";"0207010";"Verkrijgings- of vervaardigingsprijs onroerende zaken verkocht onder voorwaarden";"D";4;;
"BMvaOzvVvpBeg";"0207010.01";"Beginbalans onroerende zaken verkocht onder voorwaarden";"D";5;;
"BMvaOzvVvpIna";"0207010.02";"Investeringen nieuw aangeschaft onroerende zaken verkocht onder voorwaarden";"D";5;;
"BMvaOzvVvpIta";"0207010.03";"Investeringen tweedehands aangeschaft onroerende zaken verkocht onder voorwaarden";"D";5;;
"BMvaOzvVvpIie";"0207010.04";"Investeringen in eigen beheer vervaardigd onroerende zaken verkocht onder voorwaarden";"D";5;;
"BMvaOzvVvpAdo";"0207010.05";"Aankopen door overnames onroerende zaken verkocht onder voorwaarden";"D";5;;
"BMvaOzvVvpDes";"0207010.06";"Desinvesteringen onroerende zaken verkocht onder voorwaarden";"C";5;;
"BMvaOzvVvpDda";"0207010.07";"Desinvesteringen door afstotingen onroerende zaken verkocht onder voorwaarden";"C";5;;
"BMvaOzvVvpOmv";"0207010.08";"Omrekeningsverschillen onroerende zaken verkocht onder voorwaarden";"D";5;;
"BMvaOzvVvpOve";"0207010.09";"Overboekingen onroerende zaken verkocht onder voorwaarden";"D";5;;
"BMvaOzvVvpOvm";"0207010.10";"Overige mutaties onroerende zaken verkocht onder voorwaarden";"D";5;;
"BMvaOzvCae";"0207020";"Cumulatieve afschrijvingen en waardeverminderingen onroerende zaken verkocht onder voorwaarden";"C";4;;
"BMvaOzvCaeBeg";"0207020.01";"Beginbalans onroerende zaken verkocht onder voorwaarden";"C";5;;
"BMvaOzvCaeAfs";"0207020.02";"Afschrijvingen onroerende zaken verkocht onder voorwaarden";"C";5;;
"BMvaOzvCaeDca";"0207020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen onroerende zaken verkocht onder voorwaarden";"D";5;;
"BMvaOzvCaeWvr";"0207020.04";"Waardeverminderingen onroerende zaken verkocht onder voorwaarden";"C";5;;
"BMvaOzvCaeTvw";"0207020.05";"Terugneming van waardeverminderingen onroerende zaken verkocht onder voorwaarden";"D";5;;
"BMvaOzvCuh";"0207030";"Cumulatieve herwaarderingen onroerende zaken verkocht onder voorwaarden";"D";4;;
"BMvaOzvCuhBeg";"0207030.01";"Beginbalans onroerende zaken verkocht onder voorwaarden";"D";5;;
"BMvaOzvCuhHer";"0207030.02";"Herwaarderingen onroerende zaken verkocht onder voorwaarden";"D";5;;
"BMvaOzvCuhAfh";"0207030.03";"Afschrijving herwaarderingen onroerende zaken verkocht onder voorwaarden";"C";5;;
"BMvaOzvCuhDeh";"0207030.04";"Desinvestering herwaarderingen onroerende zaken verkocht onder voorwaarden";"C";5;;
"BMvaOvg";"0208000";"Overige vastgoedbeleggingen";"D";3;;
"BMvaOvgVvp";"0208010";"Verkrijgings- of vervaardigingsprijs overige vastgoedbeleggingen";"D";4;;
"BMvaOvgVvpBeg";"0208010.01";"Beginbalans overige vastgoedbeleggingen";"D";5;;
"BMvaOvgVvpIna";"0208010.02";"Investeringen nieuw aangeschaft overige vastgoedbeleggingen";"D";5;;
"BMvaOvgVvpIta";"0208010.03";"Investeringen tweedehands aangeschaft overige vastgoedbeleggingen";"D";5;;
"BMvaOvgVvpIie";"0208010.04";"Investeringen in eigen beheer vervaardigd overige vastgoedbeleggingen";"D";5;;
"BMvaOvgVvpAdo";"0208010.05";"Aankopen door overnames overige vastgoedbeleggingen";"D";5;;
"BMvaOvgVvpDes";"0208010.06";"Desinvesteringen overige vastgoedbeleggingen";"C";5;;
"BMvaOvgVvpDda";"0208010.07";"Desinvesteringen door afstotingen overige vastgoedbeleggingen";"C";5;;
"BMvaOvgVvpOmv";"0208010.08";"Omrekeningsverschillen overige vastgoedbeleggingen";"D";5;;
"BMvaOvgVvpOve";"0208010.09";"Overboekingen overige vastgoedbeleggingen";"D";5;;
"BMvaOvgVvpOvm";"0208010.10";"Overige mutaties overige vastgoedbeleggingen";"D";5;;
"BMvaOvgCae";"0208020";"Cumulatieve afschrijvingen en waardeverminderingen overige vastgoedbeleggingen";"C";4;;
"BMvaOvgCaeBeg";"0208020.01";"Beginbalans overige vastgoedbeleggingen";"C";5;;
"BMvaOvgCaeAfs";"0208020.02";"Afschrijvingen overige vastgoedbeleggingen";"C";5;;
"BMvaOvgCaeDca";"0208020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen overige vastgoedbeleggingen";"D";5;;
"BMvaOvgCaeWvr";"0208020.04";"Waardeverminderingen overige vastgoedbeleggingen";"C";5;;
"BMvaOvgCaeTvw";"0208020.05";"Terugneming van waardeverminderingen overige vastgoedbeleggingen";"D";5;;
"BMvaOvgCuh";"0208030";"Cumulatieve herwaarderingen overige vastgoedbeleggingen";"D";4;;
"BMvaOvgCuhBeg";"0208030.01";"Beginbalans overige vastgoedbeleggingen";"D";5;;
"BMvaOvgCuhHer";"0208030.02";"Herwaarderingen overige vastgoedbeleggingen";"D";5;;
"BMvaOvgCuhAfh";"0208030.03";"Afschrijving herwaarderingen overige vastgoedbeleggingen";"C";5;;
"BMvaOvgCuhDeh";"0208030.04";"Desinvestering herwaarderingen overige vastgoedbeleggingen";"C";5;;
"BMvaHuu";"0209000";"Huurdersinvesteringen";"D";3;;
"BMvaHuuVvp";"0209010";"Verkrijgings- of vervaardigingsprijs huurdersinvesteringen";"D";4;;
"BMvaHuuVvpBeg";"0209010.01";"Beginbalans huurdersinvesteringen";"D";5;;
"BMvaHuuVvpIna";"0209010.02";"Investeringen nieuw aangeschaft huurdersinvesteringen";"D";5;;
"BMvaHuuVvpIta";"0209010.03";"Investeringen tweedehands aangeschaft huurdersinvesteringen";"D";5;;
"BMvaHuuVvpIie";"0209010.04";"Investeringen in eigen beheer vervaardigd huurdersinvesteringen";"D";5;;
"BMvaHuuVvpAdo";"0209010.05";"Aankopen door overnames huurdersinvesteringen";"D";5;;
"BMvaHuuVvpDes";"0209010.06";"Desinvesteringen huurdersinvesteringen";"C";5;;
"BMvaHuuVvpDda";"0209010.07";"Desinvesteringen door afstotingen huurdersinvesteringen";"C";5;;
"BMvaHuuVvpOmv";"0209010.08";"Omrekeningsverschillen huurdersinvesteringen";"D";5;;
"BMvaHuuVvpOve";"0209010.09";"Overboekingen huurdersinvesteringen";"D";5;;
"BMvaHuuVvpOvm";"0209010.10";"Overige mutaties huurdersinvesteringen";"D";5;;
"BMvaHuuCae";"0209020";"Cumulatieve afschrijvingen en waardeverminderingen huurdersinvesteringen";"C";4;;
"BMvaHuuCaeBeg";"0209020.01";"Beginbalans huurdersinvesteringen";"C";5;;
"BMvaHuuCaeAfs";"0209020.02";"Afschrijvingen huurdersinvesteringen";"C";5;;
"BMvaHuuCaeDca";"0209020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen huurdersinvesteringen";"D";5;;
"BMvaHuuCaeWvr";"0209020.04";"Waardeverminderingen huurdersinvesteringen";"C";5;;
"BMvaHuuCaeTvw";"0209020.05";"Terugneming van waardeverminderingen huurdersinvesteringen";"D";5;;
"BMvaHuuCuh";"0209030";"Cumulatieve herwaarderingen huurdersinvesteringen";"D";4;;
"BMvaHuuCuhBeg";"0209030.01";"Beginbalans huurdersinvesteringen";"D";5;;
"BMvaHuuCuhHer";"0209030.02";"Herwaarderingen huurdersinvesteringen";"D";5;;
"BMvaHuuCuhAfh";"0209030.03";"Afschrijving herwaarderingen huurdersinvesteringen";"C";5;;
"BMvaHuuCuhDeh";"0209030.04";"Desinvestering herwaarderingen huurdersinvesteringen";"C";5;;
"BMvaMei";"0210000";"Machines en installaties";"D";3;;
"BMvaMeiVvp";"0210010";"Verkrijgings- of vervaardigingsprijs machines en installaties";"D";4;;
"BMvaMeiVvpBeg";"0210010.01";"Beginbalans machines en installaties";"D";5;;
"BMvaMeiVvpIna";"0210010.02";"Investeringen nieuw aangeschaft machines en installaties";"D";5;;
"BMvaMeiVvpIta";"0210010.03";"Investeringen tweedehands aangeschaft machines en installaties";"D";5;;
"BMvaMeiVvpIie";"0210010.04";"Investeringen in eigen beheer vervaardigd machines en installaties";"D";5;;
"BMvaMeiVvpAdo";"0210010.05";"Aankopen door overnames machines en installaties";"D";5;;
"BMvaMeiVvpDes";"0210010.06";"Desinvesteringen machines en installaties";"C";5;;
"BMvaMeiVvpDda";"0210010.07";"Desinvesteringen door afstotingen machines en installaties";"C";5;;
"BMvaMeiVvpOmv";"0210010.08";"Omrekeningsverschillen machines en installaties";"D";5;;
"BMvaMeiVvpOve";"0210010.09";"Overboekingen machines en installaties";"D";5;;
"BMvaMeiVvpOvm";"0210010.10";"Overige mutaties machines en installaties";"D";5;;
"BMvaMeiCae";"0210020";"Cumulatieve afschrijvingen en waardeverminderingen machines en installaties";"C";4;;
"BMvaMeiCaeBeg";"0210020.01";"Beginbalans machines en installaties";"C";5;;
"BMvaMeiCaeAfs";"0210020.02";"Afschrijvingen machines en installaties";"C";5;;
"BMvaMeiCaeDca";"0210020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen machines en installaties";"D";5;;
"BMvaMeiCaeWvr";"0210020.04";"Waardeverminderingen machines en installaties";"C";5;;
"BMvaMeiCaeTvw";"0210020.05";"Terugneming van waardeverminderingen machines en installaties";"D";5;;
"BMvaMeiCuh";"0210030";"Cumulatieve herwaarderingen machines en installaties";"D";4;;
"BMvaMeiCuhBeg";"0210030.01";"Beginbalans machines en installaties";"D";5;;
"BMvaMeiCuhHer";"0210030.02";"Herwaarderingen machines en installaties";"D";5;;
"BMvaMeiCuhAfh";"0210030.03";"Afschrijving herwaarderingen machines en installaties";"C";5;;
"BMvaMeiCuhDeh";"0210030.04";"Desinvestering herwaarderingen machines en installaties";"C";5;;
"BMvaVli";"0211000";"Vliegtuigen";"D";3;;
"BMvaVliVvp";"0211010";"Verkrijgings- of vervaardigingsprijs vliegtuigen";"D";4;;
"BMvaVliVvpBeg";"0211010.01";"Beginbalans vliegtuigen";"D";5;;
"BMvaVliVvpIna";"0211010.02";"Investeringen nieuw aangeschaft vliegtuigen";"D";5;;
"BMvaVliVvpIta";"0211010.03";"Investeringen tweedehands aangeschaft vliegtuigen";"D";5;;
"BMvaVliVvpIie";"0211010.04";"Investeringen in eigen beheer vervaardigd vliegtuigen";"D";5;;
"BMvaVliVvpAdo";"0211010.05";"Aankopen door overnames vliegtuigen";"D";5;;
"BMvaVliVvpDes";"0211010.06";"Desinvesteringen vliegtuigen";"C";5;;
"BMvaVliVvpDda";"0211010.07";"Desinvesteringen door afstotingen vliegtuigen";"C";5;;
"BMvaVliVvpOmv";"0211010.08";"Omrekeningsverschillen vliegtuigen";"D";5;;
"BMvaVliVvpOve";"0211010.09";"Overboekingen vliegtuigen";"D";5;;
"BMvaVliVvpOvm";"0211010.10";"Overige mutaties vliegtuigen";"D";5;;
"BMvaVliCae";"0211020";"Cumulatieve afschrijvingen en waardeverminderingen vliegtuigen";"C";4;;
"BMvaVliCaeBeg";"0211020.01";"Beginbalans vliegtuigen";"C";5;;
"BMvaVliCaeAfs";"0211020.02";"Afschrijvingen vliegtuigen";"C";5;;
"BMvaVliCaeDca";"0211020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen vliegtuigen";"D";5;;
"BMvaVliCaeWvr";"0211020.04";"Waardeverminderingen vliegtuigen";"C";5;;
"BMvaVliCaeTvw";"0211020.05";"Terugneming van waardeverminderingen vliegtuigen";"D";5;;
"BMvaVliCuh";"0211030";"Cumulatieve herwaarderingen vliegtuigen";"D";4;;
"BMvaVliCuhBeg";"0211030.01";"Beginbalans vliegtuigen";"D";5;;
"BMvaVliCuhHer";"0211030.02";"Herwaarderingen vliegtuigen";"D";5;;
"BMvaVliCuhAfh";"0211030.03";"Afschrijving herwaarderingen vliegtuigen";"C";5;;
"BMvaVliCuhDeh";"0211030.04";"Desinvestering herwaarderingen vliegtuigen";"C";5;;
"BMvaSch";"0212000";"Schepen";"D";3;;
"BMvaSchVvp";"0212010";"Verkrijgings- of vervaardigingsprijs schepen";"D";4;;
"BMvaSchVvpBeg";"0212010.01";"Beginbalans schepen";"D";5;;
"BMvaSchVvpIna";"0212010.02";"Investeringen nieuw aangeschaft schepen";"D";5;;
"BMvaSchVvpIta";"0212010.03";"Investeringen tweedehands aangeschaft schepen";"D";5;;
"BMvaSchVvpIie";"0212010.04";"Investeringen in eigen beheer vervaardigd schepen";"D";5;;
"BMvaSchVvpAdo";"0212010.05";"Aankopen door overnames schepen";"D";5;;
"BMvaSchVvpDes";"0212010.06";"Desinvesteringen schepen";"C";5;;
"BMvaSchVvpDda";"0212010.07";"Desinvesteringen door afstotingen schepen";"C";5;;
"BMvaSchVvpOmv";"0212010.08";"Omrekeningsverschillen schepen";"D";5;;
"BMvaSchVvpOve";"0212010.09";"Overboekingen schepen";"D";5;;
"BMvaSchVvpOvm";"0212010.10";"Overige mutaties schepen";"D";5;;
"BMvaSchCae";"0212020";"Cumulatieve afschrijvingen en waardeverminderingen schepen";"C";4;;
"BMvaSchCaeBeg";"0212020.01";"Beginbalans schepen";"C";5;;
"BMvaSchCaeAfs";"0212020.02";"Afschrijvingen schepen";"C";5;;
"BMvaSchCaeDca";"0212020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen schepen";"D";5;;
"BMvaSchCaeWvr";"0212020.04";"Waardeverminderingen schepen";"C";5;;
"BMvaSchCaeTvw";"0212020.05";"Terugneming van waardeverminderingen schepen";"D";5;;
"BMvaSchCuh";"0212030";"Cumulatieve herwaarderingen schepen";"D";4;;
"BMvaSchCuhBeg";"0212030.01";"Beginbalans schepen";"D";5;;
"BMvaSchCuhHer";"0212030.02";"Herwaarderingen schepen";"D";5;;
"BMvaSchCuhAfh";"0212030.03";"Afschrijving herwaarderingen schepen";"C";5;;
"BMvaSchCuhDeh";"0212030.04";"Desinvestering herwaarderingen schepen";"C";5;;
"BMvaTev";"0213000";"Transport- en vervoermiddelen";"D";3;;
"BMvaTevVvp";"0213010";"Verkrijgings- of vervaardigingsprijs transport- en vervoermiddelen";"D";4;;
"BMvaTevVvpBeg";"0213010.01";"Beginbalans transport- en vervoermiddelen";"D";5;;
"BMvaTevVvpIna";"0213010.02";"Investeringen nieuw aangeschaft transport- en vervoermiddelen";"D";5;;
"BMvaTevVvpIta";"0213010.03";"Investeringen tweedehands aangeschaft transport- en vervoermiddelen";"D";5;;
"BMvaTevVvpIie";"0213010.04";"Investeringen in eigen beheer vervaardigd transport- en vervoermiddelen";"D";5;;
"BMvaTevVvpAdo";"0213010.05";"Aankopen door overnames transport- en vervoermiddelen";"D";5;;
"BMvaTevVvpDes";"0213010.06";"Desinvesteringen transport- en vervoermiddelen";"C";5;;
"BMvaTevVvpDda";"0213010.07";"Desinvesteringen door afstotingen transport- en vervoermiddelen";"C";5;;
"BMvaTevVvpOmv";"0213010.08";"Omrekeningsverschillen transport- en vervoermiddelen";"D";5;;
"BMvaTevVvpOve";"0213010.09";"Overboekingen transport- en vervoermiddelen";"D";5;;
"BMvaTevVvpOvm";"0213010.10";"Overige mutaties transport- en vervoermiddelen";"D";5;;
"BMvaTevCae";"0213020";"Cumulatieve afschrijvingen en waardeverminderingen transport- en vervoermiddelen";"C";4;;
"BMvaTevCaeBeg";"0213020.01";"Beginbalans transport- en vervoermiddelen";"C";5;;
"BMvaTevCaeAfs";"0213020.02";"Afschrijvingen transport- en vervoermiddelen";"C";5;;
"BMvaTevCaeDca";"0213020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen transport- en vervoermiddelen";"D";5;;
"BMvaTevCaeWvr";"0213020.04";"Waardeverminderingen transport- en vervoermiddelen";"C";5;;
"BMvaTevCaeTvw";"0213020.05";"Terugneming van waardeverminderingen transport- en vervoermiddelen";"D";5;;
"BMvaTevCuh";"0213030";"Cumulatieve herwaarderingen transport- en vervoermiddelen";"D";4;;
"BMvaTevCuhBeg";"0213030.01";"Beginbalans transport- en vervoermiddelen";"D";5;;
"BMvaTevCuhHer";"0213030.02";"Herwaarderingen transport- en vervoermiddelen";"D";5;;
"BMvaTevCuhAfh";"0213030.03";"Afschrijving herwaarderingen transport- en vervoermiddelen";"C";5;;
